Unknown Face,chung.png,woo.png,chang.png
COU ACI_005_SM_0.jpg,True,False,False
COU ACI_013_SM_2.jpg,False,False,False
COU ACI_105_SM_0.jpg,True,True,False
COU ACI_005_SM_1.jpg,Fail,Fail,Fail
COU ACI_105_SM_1.jpg,Fail,Fail,Fail
COU ACI_013_SM_3.jpg,Fail,Fail,Fail
COU ACI_013_SM_1.jpg,Fail,Fail,Fail
COU ACI_013_SM_0.jpg,Fail,Fail,Fail
COU ACI_006_SM_1.jpg,False,False,False
COU ACI_007_SM_0.jpg,Fail,Fail,Fail
COU ACI_006_SM_0.jpg,False,False,False
COU ACI_002_SM_3.jpg,False,False,False
COU ACI_002_SM_1.jpg,Fail,Fail,Fail
COU ACI_105_SM_3.jpg,False,False,False
COU INA_001_SM_0.jpg,False,False,False
COU INA_001_SM_4.jpg,False,False,False
COU INA_001_SM_1.jpg,False,False,False
COU INA_001_SM_2.jpg,False,False,False
COU INA_001_SM_3.jpg,True,True,False
COU INA_001_SM_6.jpg,Fail,Fail,Fail
COU INA_001_SM_5.jpg,Fail,Fail,Fail
COU SITE_003_SM_1.jpg,False,True,False
COU ACI_105_SM_2.jpg,Fail,Fail,Fail
COU SITE_003_SM_0.jpg,True,True,False
COU SITE_003_SM_11.jpg,False,False,False
COU SITE_003_SM_14.jpg,Fail,Fail,Fail
COU INA_001_SM_7.jpg,Fail,Fail,Fail
COU SITE_003_SM_10.jpg,False,False,False
COU SITE_003_SM_12.jpg,False,False,False
COU INA_001_SM_8.jpg,Fail,Fail,Fail
DIS HKE__036_SM_5.jpg,False,False,False
COU SITE_003_SM_16.jpg,Fail,Fail,Fail
COU SITE_003_SM_7.jpg,False,False,False
COU SITE_003_SM_3.jpg,True,True,False
COU SITE_003_SM_4.jpg,False,False,False
COU SITE_003_SM_2.jpg,False,False,False
COU SITE_003_SM_13.jpg,Fail,Fail,Fail
DIS AL_002_SM_0.jpg,Fail,Fail,Fail
DIS AL_001_SM_1.jpg,False,False,False
DIS AL_002_SM_1.jpg,Fail,Fail,Fail
DIS HKE__036_SM_1.jpg,Fail,Fail,Fail
DIS HKE__036_SM_0.jpg,Fail,Fail,Fail
COU SITE_003_SM_15.jpg,False,False,False
COU SITE_003_SM_9.jpg,False,False,False
DIS HKE__036_SM_3.jpg,False,True,False
DIS HKE__036_SM_2.jpg,True,True,True
DIS HKE__036_SM_10.jpg,Fail,Fail,Fail
DIS HKE__036_SM_4.jpg,False,False,False
DIS AL_001_SM_0.jpg,True,True,False
COU SITE_003_SM_8.jpg,False,True,False
COU SITE_003_SM_6.jpg,True,False,False
COU SITE_003_SM_5.jpg,False,False,False
EXH INK_002_SM_0.jpg,False,False,False
DON TEL_006_SM_0.jpg,True,True,False
DON SOC_001_SC_1.jpg,True,True,False
DON SOC_001_SC_2.jpg,Fail,Fail,Fail
EXH INK_001_SM_0.jpg,False,False,True
EXH INK_001_SM_1.jpg,True,True,True
DIS HKE__036_SM_6.jpg,False,False,False
DIS HKE__036_SM_8.jpg,Fail,Fail,Fail
DON DCC_024_SM_1.jpg,True,True,False
DIS HKE__036_SM_9.jpg,True,True,True
DIS HKE__036_SM_7.jpg,False,False,False
DON MONG_005_SM_0.jpg,False,False,False
DON MONG_005_SM_1.jpg,True,True,False
DON MONG_005_SM_2.jpg,True,True,False
DON PRE_008_SM_2.jpg,False,True,False
DON PRE_002_SM_0.jpg,False,True,False
DON TEL_006_SM_1.jpg,False,False,False
DON SOC_001_SC_0.jpg,False,False,False
DON PRE_008_SM_1.jpg,True,True,False
DON PRE_002_SM_1.jpg,True,True,False
DON PRE_002_SM_2.jpg,True,True,False
DON PRE_008_SM_0.jpg,True,True,False
DON MONG_005_SM_6.jpg,False,False,False
DON MONG_005_SM_5.jpg,Fail,Fail,Fail
DON MONG_005_SM_4.jpg,False,True,False
DON MONG_005_SM_3.jpg,False,False,True
DON DCC_024_SM_0.jpg,False,True,False
EXH INK_004_SM_1.jpg,False,False,True
EXH INK_004_SM_0.jpg,Fail,Fail,Fail
EXH INK_002_SM_3.jpg,Fail,Fail,Fail
EXH INK_005_SM_1.jpg,Fail,Fail,Fail
EXH INK_005_SM_2.jpg,Fail,Fail,Fail
OPN CER_008_SM_11.jpg,Fail,Fail,Fail
EXH INK_002_SM_1.jpg,Fail,Fail,Fail
EXH INK_002_SM_2.jpg,Fail,Fail,Fail
EXH INK_001_SM_2.jpg,False,True,True
OPN CER_008_SM_10.jpg,Fail,Fail,Fail
OPN CER_008_SM_1.jpg,Fail,Fail,Fail
EXH MIA01_X4_SM_1.jpg,True,True,False
