x,y,id
39.38674,-31.574118,STA_PKC_008SM
-23.762877,-25.556536,STA_PKC_009SM
39.315582,-31.836391,STA_PKC_010SM
86.2822,-9.128423,STA_SOC_001SM
86.14731,-9.105781,STA_SOC_002SM
61.109756,-45.94679,STA_SOC_003SM
86.121666,-9.06905,STA_SOC_004SM
86.14731,-9.105781,STA_SOC_005SM
86.57453,-9.204668,87-17
86.52681,-9.179713,87-18
69.31924,-43.611725,87-19
7.850314,-29.235735,STA_CRI_001SM
30.864553,-46.830627,STA_CRI_002SM
7.665231,-28.730284,STA_CRI_003SM
25.001368,-48.80037,STA_CRI_004SM
31.684362,-43.258392,STA_CRI_005SM
24.884186,-48.78263,STA_CRI_006SM
31.547796,-43.342953,STA_CRI_007SM
30.687563,-46.79439,STA_CRI_008SM
31.200075,-42.833454,STA_CRI_009SM
31.71278,-46.660236,STA_CRI_010SM
31.170433,-46.66338,STA_CRI_011SM
31.601927,-46.642063,STA_CRI_012SM
30.960552,-46.60408,STA_CRI_013SM
31.064814,-46.857067,STA_CRI_014SM
24.78708,-48.7887,STA_CRI_015SM
32.2773,-46.676697,STA_CRI_016SM
30.860579,-46.783268,STA_CRI_017SM
66.35913,-42.792793,STA_CRI_018SM
84.92845,-26.639236,STA_SOC_001SM
83.62815,-27.843567,STA_SOC_002SM
76.28708,-10.973822,STA_SOC_003SM
76.3249,-11.10422,STA_SOC_004SM
74.91762,-18.296535,STA_SOC_005SM
77.71539,-11.63648,STA_SOC_006SM
76.83774,-11.169321,STA_SOC_007SM
89.56844,-30.128468,STA_SOC_009SM
89.234985,-29.976974,STA_SOC_010SM
87.89029,-27.666758,STA_SOC_011SM
88.60946,-27.499037,STA_SOC_012SM
81.63953,-29.616583,STA_SOC_013SM
92.187935,-28.241,STA_SOC_014SM
87.89123,-27.666733,STA_SOC_015SM
84.08619,-27.237684,STA_SOC_016SM
92.35862,-28.459538,STA_SOC_X1SM
92.32488,-28.46886,STA_SOC_X2SM
36.513126,-37.302994,STA_TAI_001SM
36.078007,-30.078957,STA_TAI_002SM
35.923576,-33.407604,STA_TAI_003SM
36.925186,-30.409712,STA_TAI_004SM
36.251,-30.193419,STA_TAI_005SM
7.0633793,-32.092625,STA_TAI_006SM
35.76443,-29.67906,STA_TAI_007SM
13.868397,-30.18165,STA_TAI_008SM
44.910374,-41.139996,STA_TAI_009SM
35.793297,-29.71854,STA_TAI_010SM
13.917811,-30.173157,STA_TAI_011SM
-14.447653,-9.990712,STA_TAI_012SM
-7.6921525,-23.711567,STA_TAI_013SM
36.537083,-37.342392,STA_TAI_014SM
64.57423,-24.854578,88-15
64.716866,-25.044044,88-16
64.6114,-24.993265,88-17
64.6114,-24.993265,88-18
64.67356,-24.836847,89-10
64.28498,-24.731743,89-11
64.14065,-24.841026,89-12
64.7438,-24.663387,89-13
64.20917,-24.766644,89-14
64.72412,-24.865498,89-9
64.81052,-25.091349,90-7
64.686935,-24.861588,90-8
64.55928,-24.81852,91-0
64.588615,-24.960688,91-1
-77.08608,28.779673,SOC_TWK_001SM
1.5301248,12.591168,SOC_TWK_002SM
4.6410823,-7.8357077,SOC_TWK_003SM
1.3343527,12.509971,SOC_TWK_004SM
11.839457,14.943293,SOC_TWK_005SM
14.167468,-24.113407,SOC_TWK_006SM
6.0727596,-24.578318,SOC_TWK_007SM
5.5772233,-24.398151,SOC_TWK_008SM
21.227585,-47.514805,SOC_TWK_009SM
21.426363,-47.63755,SOC_TWK_010SM
21.234903,-47.503563,SOC_TWK_011SM
21.329315,-47.573116,SOC_TWK_012SM
8.820302,-9.927556,SOC_TWK_013SM
6.31942,-27.770771,SOC_TWK_014SM
42.35908,-10.520284,SOC_TWK_015SM
42.25903,-11.088392,SOC_TWK_016SM
42.371754,-10.496601,SOC_TWK_017SM
9.154446,-30.252636,SOC_TWK_018SM
6.064131,-25.994701,SOC_TWK_019SM
4.551989,-8.462386,SOC_TWK_020SM
-6.1206784,-23.3256,SOC_TWK_021SM
7.035816,-33.155735,SOC_TWK_022SM
1.4102898,12.448322,SOC_TWK_023SM
1.4053429,12.561894,SOC_TWK_024SM
1.4246151,12.487378,SOC_TWK_025SM
