,albumID,name,aTitle,aDate,mDate,aURL
113,113,a1-555,Softball Tournament,2012-08-01 02:08:18,2012-08-01 02:08:18,http://digitalimages.ust.hk/gallery2/?p=720
114,114,a1-560,Streetball Competition,2012-08-01 02:08:22,2012-08-01 02:08:22,http://digitalimages.ust.hk/gallery2/?p=721
115,115,a1-570,Table Tennis Competition,2012-08-01 02:08:25,2012-08-01 02:08:25,http://digitalimages.ust.hk/gallery2/?p=722
116,116,a1-575,Teaching Awards,2012-08-01 02:08:26,2012-08-01 02:08:26,http://digitalimages.ust.hk/gallery2/?p=723
117,117,a1-580,Tug-of-war Competition,2012-08-01 02:08:26,2012-08-01 02:08:26,http://digitalimages.ust.hk/gallery2/?p=724
118,118,a1-590,Veroasity Electronic Design Competition,2012-08-01 02:08:29,2012-08-01 02:08:29,http://digitalimages.ust.hk/gallery2/?p=725
119,119,a1-60,HKUST vs Bayer Research &amp; Development Information Interchange &amp; Football Days,2012-08-01 02:08:29,2012-08-01 02:08:29,http://digitalimages.ust.hk/gallery2/?p=726
120,120,a1-600,Student Examination,2012-08-01 02:08:31,2012-08-01 02:08:31,http://digitalimages.ust.hk/gallery2/?p=727
121,121,a1-610,Engineering Festival '95 - Mechanical Engineering Demo,2012-08-01 02:08:33,2012-08-01 02:08:33,http://digitalimages.ust.hk/gallery2/?p=728
122,122,a1-620,Mid Autumn Festival Parties '93,2012-08-01 02:08:35,2012-08-01 02:08:35,http://digitalimages.ust.hk/gallery2/?p=729
123,123,a1-630,Student Festival '96,2012-08-01 02:08:37,2012-08-01 02:08:37,http://digitalimages.ust.hk/gallery2/?p=730
124,124,a1-631,Student Festival '97,2012-08-01 02:08:42,2012-08-01 02:08:42,http://digitalimages.ust.hk/gallery2/?p=731
125,125,a1-640,Student Festival (Tug of War),2012-08-01 02:08:44,2012-08-01 02:08:44,http://digitalimages.ust.hk/gallery2/?p=732
126,126,a1-650,First Day in '95 Fall Semester,2012-08-01 02:08:47,2012-08-01 02:08:47,http://digitalimages.ust.hk/gallery2/?p=733
127,127,a1-660,Flea Market,2012-08-01 02:08:52,2012-08-01 02:08:52,http://digitalimages.ust.hk/gallery2/?p=734
128,128,a1-665,8th SU Nominated Cabinet Forum &amp; Polling,2012-08-01 02:08:59,2012-08-01 02:08:59,http://digitalimages.ust.hk/gallery2/?p=735
129,129,a1-670,Engineering Forum,2012-08-01 02:09:00,2012-08-01 02:09:00,http://digitalimages.ust.hk/gallery2/?p=736
130,130,a1-680,May Forth Forum,2012-08-01 02:09:05,2012-08-01 02:09:05,http://digitalimages.ust.hk/gallery2/?p=737
131,131,a1-685,North Korea Starvation,2012-08-01 02:09:07,2012-08-01 02:09:07,http://digitalimages.ust.hk/gallery2/?p=738
132,132,a1-70,Media Luncheon : Frank Ching,2012-08-01 02:09:11,2012-08-01 02:09:11,http://digitalimages.ust.hk/gallery2/?p=739
133,133,a1-710,House II Variety Show,2012-08-01 02:09:17,2012-08-01 02:09:17,http://digitalimages.ust.hk/gallery2/?p=740
134,134,a1-720-01,Student Campus Life,2012-09-10 10:01:25,2012-09-10 10:06:36,http://digitalimages.ust.hk/gallery2/?p=741
